xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4120.00000000,9510.00000000,2607.50000000,0.49427200,6,45,0.03910100,0.00964100
4100.00000000,9490.00000000,2622.50000000,0.71026400,8,43,0.10075300,0.08835200
4120.00000000,9490.00000000,2622.50000000,0.47934600,7,45,0.03542900,0.02620700
4100.00000000,9510.00000000,2622.50000000,0.77505000,2,33,0.23781900,0.04034300
4120.00000000,9510.00000000,2622.50000000,0.77439400,7,45,0.07101600,0.01925000
4140.00000000,9490.00000000,2607.50000000,0.46188500,6,45,0.02657900,0.00613500
4140.00000000,9490.00000000,2622.50000000,0.55501700,7,45,0.02895200,0.00724000
4140.00000000,9510.00000000,2622.50000000,0.48010300,7,45,0.03086400,0.00653800
3920.00000000,9530.00000000,2607.50000000,0.86326500,-99,42,0.07439200,0.01148700
3900.00000000,9530.00000000,2622.50000000,0.42219000,-99,43,0.05912900,0.01776000
3920.00000000,9530.00000000,2622.50000000,0.97231400,-99,42,0.05814800,0.00466600
3900.00000000,9550.00000000,2622.50000000,0.28744200,-99,41,0.04332700,0.00678500
