xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
3980,9490,2607.5,1.20521,-99,45,0.07381,0.039974,
4000,9490,2607.5,1.80794,-99,45,0.108815,0.048709,
3980,9510,2607.5,1.14378,-99,45,0.085183,0.019994,
4000,9510,2607.5,0.990476,-99,45,0.063006,0.053931,
3980,9490,2622.5,0.950064,-99,45,0.072348,0.065992,
4000,9490,2622.5,1.31731,-99,45,0.099677,0.049249,
3980,9510,2622.5,1.30382,-99,45,0.11247,0.03092,
4000,9510,2622.5,1.32521,-99,45,0.092054,0.053049,
4020,9490,2607.5,1.03371,-99,33,0.108129,0.046389,
4040,9490,2607.5,0.918762,-99,45,0.099508,0.023258,
4020,9510,2607.5,1.01089,-99,45,0.084851,0.059603,
4040,9510,2607.5,1.08505,-99,45,0.102502,0.03344,
4020,9490,2622.5,0.799629,-99,45,0.091901,0.033055,
4040,9490,2622.5,1.14716,-99,45,0.110141,0.018345,
4020,9510,2622.5,0.780686,-99,45,0.064028,0.045165,
4040,9510,2622.5,1.20799,-99,45,0.124641,0.023052,
4060,9490,2607.5,1.29,8,43,0.157944,0.010049,
4080,9490,2607.5,1.23804,100,43,0.186753,0.010206,
4060,9510,2607.5,0.925333,8,43,0.144939,0.019838,
4080,9510,2607.5,0.852767,8,43,0.21352,0.006905,
4060,9490,2622.5,1.51174,8,45,0.128437,0.019843,
4080,9490,2622.5,1.2376,8,45,0.099464,0.011295,
4060,9510,2622.5,0.814744,-99,43,0.113759,0.016215,
4080,9510,2622.5,0.704357,8,43,0.09609,0.010954,
4100,9490,2607.5,0.831999,8,45,0.073416,0.011543,
4120,9490,2607.5,0.431424,6,44,0.02846,0.009367,
4100,9510,2607.5,0.714638,2,33,0.199491,0.00442,
4120,9510,2607.5,0.494272,6,45,0.039101,0.009641,
4100,9490,2622.5,0.710264,8,43,0.100753,0.088352,
4120,9490,2622.5,0.479346,7,45,0.035429,0.026207,
4100,9510,2622.5,0.77505,2,33,0.237819,0.040343,
4120,9510,2622.5,0.774394,7,45,0.071016,0.01925,
4140,9490,2607.5,0.461885,6,45,0.026579,0.006135,
4140,9490,2622.5,0.555017,7,45,0.028952,0.00724,
4140,9510,2622.5,0.480103,7,45,0.030864,0.006538,
3920,9530,2607.5,0.863265,-99,42,0.074392,0.011487,
3900,9530,2622.5,0.42219,-99,43,0.059129,0.01776,
3920,9530,2622.5,0.972314,-99,42,0.058148,0.004666,
3900,9550,2622.5,0.287442,-99,41,0.043327,0.006785,
3920,9550,2622.5,0.609872,-99,42,0.042893,0.007132,
3940,9530,2607.5,1.18394,-99,42,0.107442,0.032858,
3960,9530,2607.5,1.23763,-99,45,0.107332,0.014822,
3960,9550,2607.5,1.46,-99,45,0.105106,0.017771,
3940,9530,2622.5,1.24152,-99,45,0.081263,0.026312,
3960,9530,2622.5,1.40393,-99,45,0.110936,0.019911,
3940,9550,2622.5,0.811088,-99,45,0.05633,0.040041,
3960,9550,2622.5,1.07545,-99,45,0.070662,0.030915,
3980,9530,2607.5,1.41303,-99,45,0.104472,0.019343,
4000,9530,2607.5,0.994107,-99,45,0.068273,0.019664,
3980,9550,2607.5,1.23708,-99,45,0.100569,0.020727,
4000,9550,2607.5,1.20013,-99,45,0.100966,0.018936,
3980,9530,2622.5,1.13391,-99,45,0.086731,0.011159,
4000,9530,2622.5,1.15276,-99,45,0.06324,0.015643,
3980,9550,2622.5,1.19456,-99,45,0.074621,0.014836,
4000,9550,2622.5,0.978714,-99,45,0.067308,0.011456,
