xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot
3960,9550,2607.500000,1.290000,8,45,jul-14,0.080000,320,
3940,9530,2622.500000,1.640000,8,45,may-14,0.060000,262,
3960,9530,2622.500000,1.660000,8,45,may-14,0.070000,432,
3940,9550,2622.500000,1.430000,8,45,may-14,0.070000,150,
3960,9550,2622.500000,1.250000,8,45,may-14,0.070000,339,
3980,9530,2607.500000,1.220000,8,45,jul-14,0.070000,394,
4000,9530,2607.500000,1.060000,8,45,jul-14,0.080000,277,
3980,9550,2607.500000,1.200000,8,45,jul-14,0.070000,325,
4000,9550,2607.500000,0.890000,8,45,jul-14,0.070000,329,
3980,9530,2622.500000,1.350000,8,45,may-14,0.080000,257,
4000,9530,2622.500000,1.060000,8,45,may-14,0.080000,231,
3980,9550,2622.500000,1.040000,8,45,may-14,0.070000,188,
4000,9550,2622.500000,0.940000,8,45,may-14,0.070000,246,
4020,9530,2607.500000,1.050000,8,45,jul-14,0.100000,258,
4040,9530,2607.500000,0.900000,8,45,dic-15,0.090000,205,
4020,9550,2607.500000,0.890000,8,45,dic-15,0.090000,322,
4040,9550,2607.500000,0.810000,8,45,jul-14,0.080000,178,
4020,9530,2622.500000,1.140000,8,45,may-14,0.110000,229,
4040,9530,2622.500000,1.160000,8,45,may-14,0.100000,269,
4020,9550,2622.500000,0.870000,8,45,may-14,0.090000,299,
4040,9550,2622.500000,0.970000,8,45,may-14,0.100000,268,
4060,9530,2607.500000,0.925000,8,45,dic-15,0.077500,168,
4080,9530,2607.500000,0.746042,7,45,ago-14,0.050625,130,
4060,9550,2607.500000,0.765000,7,45,jul-14,0.070000,199,
4080,9550,2607.500000,0.530000,7,45,ago-14,0.030000,118,
4060,9530,2622.500000,1.144167,8,45,may-14,0.099167,195,
4080,9530,2622.500000,0.755000,7,45,jun-14,0.047500,157,
4060,9550,2622.500000,0.955000,8,42,may-14,0.092500,156,
4080,9550,2622.500000,0.674583,7,45,jun-14,0.050625,120,
4100,9530,2622.500000,0.440000,7,44,jun-14,0.030000,130,
4120,9530,2622.500000,0.490000,7,45,nov-15,0.040000,34,
4100,9550,2622.500000,0.440000,7,44,jun-14,0.020000,41,
3900,9570,2622.500000,0.470000,61,45,jul-14,0.020000,132,
3920,9570,2622.500000,0.380000,61,44,jul-14,0.020000,136,
3900,9590,2622.500000,0.440000,61,44,jul-14,0.020000,118,
3920,9590,2622.500000,0.460000,61,45,jul-14,0.020000,123,
3960,9570,2607.500000,1.350000,8,45,jul-14,0.080000,287,
3960,9590,2607.500000,1.140000,8,45,jul-14,0.070000,187,
3940,9570,2622.500000,1.222917,8,45,may-14,0.068958,142,
3960,9570,2622.500000,1.240000,8,45,may-14,0.080000,317,
3940,9590,2622.500000,0.945417,8,45,abr-14,0.051667,130,
3960,9590,2622.500000,0.930000,8,45,abr-14,0.080000,220,
3980,9570,2607.500000,1.110000,8,45,jul-14,0.080000,293,
4000,9570,2607.500000,0.840000,8,45,jul-14,0.070000,365,
3980,9590,2607.500000,1.020000,8,45,jul-14,0.070000,264,
4000,9590,2607.500000,0.870000,8,45,jul-14,0.070000,328,
3980,9570,2622.500000,0.000100,8,45,may-14,0.070000,198,
4000,9570,2622.500000,0.990000,8,45,may-14,0.080000,262,
3980,9590,2622.500000,0.820000,8,45,abr-14,0.070000,231,
4000,9590,2622.500000,1.010000,8,45,may-14,0.080000,228,
4020,9570,2607.500000,0.840000,8,45,jul-14,0.080000,320,
4040,9570,2607.500000,0.700000,8,45,jul-14,0.070000,217,
4020,9590,2607.500000,0.757500,8,45,jul-14,0.067917,274,
4040,9590,2607.500000,0.636250,7,45,jul-14,0.052292,245,
4020,9570,2622.500000,0.750000,8,45,may-14,0.080000,287,
