xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
3960,9570,2622.500000,1.077507,-99,45,0.071738,319,
3940,9590,2622.500000,0.789591,-99,45,0.049850,114,
3960,9590,2622.500000,1.047275,-99,45,0.082189,182,
3980,9570,2607.500000,0.917258,-99,45,0.083810,99,
4000,9570,2607.500000,0.980258,-99,45,0.092361,154,
3980,9590,2607.500000,0.705660,-99,45,0.060281,111,
4000,9590,2607.500000,0.767766,-99,45,0.074867,95,
3980,9570,2622.500000,0.891497,-99,45,0.070674,134,
4000,9570,2622.500000,0.793908,-99,45,0.057617,115,
3980,9590,2622.500000,0.748604,-99,45,0.055064,251,
4000,9590,2622.500000,0.723780,-99,45,0.054224,330,
4020,9570,2607.500000,1.425414,-99,45,0.088007,863,
4040,9570,2607.500000,0.844318,-99,45,0.065928,248,
4020,9590,2607.500000,1.569391,-99,45,0.101232,311,
4040,9590,2607.500000,0.482535,-99,45,0.033627,64,
4020,9570,2622.500000,1.121825,-99,45,0.072404,294,
4040,9570,2622.500000,0.810169,-99,45,0.060317,602,
4020,9590,2622.500000,1.446316,-99,45,0.079130,237,
4040,9590,2622.500000,0.946252,-99,45,0.053918,402,
4060,9570,2607.500000,0.732818,-99,45,0.057270,110,
4080,9570,2607.500000,0.442172,-99,33,0.032251,13,
4060,9590,2607.500000,0.592217,-99,33,0.048371,112,
4080,9590,2607.500000,0.599182,-99,33,0.062244,38,
4060,9570,2622.500000,1.131023,-99,42,0.071588,142,
4080,9570,2622.500000,0.989887,-99,45,0.073375,53,
4060,9590,2622.500000,0.804091,-99,45,0.075642,290,
4080,9590,2622.500000,0.865852,-99,33,0.058281,94,
4100,9590,2607.500000,1.358758,-99,45,0.084479,373,
4100,9570,2622.500000,0.498419,-99,45,0.043867,259,
4100,9590,2622.500000,0.480038,-99,45,0.036121,328,
3880,9610,2622.500000,0.290282,-99,41,0.019949,26,
3880,9630,2622.500000,0.296561,-99,41,0.017120,26,
3900,9610,2622.500000,0.545544,-99,45,0.037826,99,
3920,9610,2622.500000,0.559122,-99,45,0.043227,49,
3900,9630,2622.500000,0.441802,-99,44,0.031127,46,
3920,9630,2622.500000,0.627163,-99,45,0.041705,40,
3960,9610,2607.500000,0.858160,0,10,0.058423,387,
3960,9630,2607.500000,0.728683,0,10,0.052833,336,
3940,9610,2622.500000,0.349343,-99,44,0.032065,135,
3960,9610,2622.500000,0.867927,-99,45,0.059428,315,
3940,9630,2622.500000,0.617903,-99,45,0.037560,60,
3960,9630,2622.500000,0.817140,-99,45,0.052884,117,
3980,9610,2607.500000,0.668320,-99,45,0.057120,115,
4000,9610,2607.500000,0.655617,-99,45,0.062059,115,
3980,9630,2607.500000,0.525618,-99,45,0.038729,106,
4000,9630,2607.500000,0.503577,-99,45,0.044070,200,
3980,9610,2622.500000,0.629875,-99,45,0.045492,139,
4000,9610,2622.500000,0.536096,-99,45,0.039449,185,
3980,9630,2622.500000,0.644579,-99,42,0.049413,279,
4000,9630,2622.500000,0.509901,-99,45,0.038383,196,
