xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
4120,9430,2607.5,0.013076,7,SSD,44,0.391677,2.6,0.041951,SCHBL
4100,9410,2622.5,0.014138,7,SSD,45,0.480991,2.6,0.033443,SCHAL
4120,9410,2622.5,0.018485,6,,43,0.410216,2.6,0.095035,SASOL
4100,9430,2622.5,0.012911,7,SSD,45,0.624889,2.6,0.0502,SCHAL
4120,9430,2622.5,0.007914,6,,44,0.374407,2.6,0.03374,SCHBL
4140,9410,2607.5,0.027928,6,,45,0.556731,2.6,0.066756,SCHAL
4160,9410,2607.5,0.012686,6,,45,0.511952,2.6,0.045337,SCHAL
4140,9430,2607.5,0.007314,7,SSD,45,0.58299,2.6,0.052262,SCHAL
4160,9430,2607.5,0.01571,8,SSF,45,0.483935,2.6,0.033369,SCHAL
4140,9410,2622.5,0.011401,6,,43,0.462476,2.6,0.066736,SASOL
4160,9410,2622.5,0.00444,6,,45,0.498554,2.6,0.053821,SCHAL
4140,9430,2622.5,0.009022,8,SSF,43,0.679791,2.6,0.097148,SASOL
4160,9430,2622.5,0.008906,8,SSF,45,0.597578,2.6,0.055447,SCHAL
4180,9410,2622.5,0.007871,6,,45,0.541912,2.6,0.057671,SCHAL
4180,9430,2622.5,0.0103,7,SSD,45,0.692883,2.6,0.044092,SCHAL
3920,9470,2622.5,0.021449,-99,NULL,45,1.764656,2.6,0.099049,SCHAL
3960,9450,2607.5,0.058686,-99,NULL,45,1.041046,2.6,0.103076,SCHAL
3940,9470,2607.5,0.022254,-99,NULL,45,1.680599,2.6,0.11121,SCHAL
3960,9470,2607.5,0.055493,-99,NULL,45,1.641552,2.6,0.106019,SCHAL
3940,9450,2622.5,0.03884,-99,NULL,45,1.597518,2.6,0.092424,SCHAL
3960,9450,2622.5,0.041176,-99,NULL,42,1.586508,2.6,0.10851,SAARC
3940,9470,2622.5,0.034554,-99,NULL,45,1.595673,2.6,0.099032,SCHAL
3960,9470,2622.5,0.026688,-99,NULL,45,1.339835,2.6,0.096319,SCHAL
